id_str,full_text,retweeted_status.id_str,retweeted_status.full_text,conservative
1216531530123825153,"RT @V_actually: Hollywood's full of sexual deviants &amp; pedophiles that have sold their souls for fame.

It’s amazing the amount of brainwash…",1.2152880592998605e+18,"Hollywood's full of sexual deviants &amp; pedophiles that have sold their souls for fame.

It’s amazing the amount of brainwashing &amp; narcism to believe people would see this as a 'self sacrifice' by #MichelleWilliams

She did sacrifice something .. but it wasn’t hers to sacrifice. https://t.co/S9C5A5ttih",1.0
1216529532905312256,"RT @V_actually: Hollywood's full of sexual deviants &amp; pedophiles that have sold their souls for fame.

It’s amazing the amount of brainwash…",1.2152880592998605e+18,"Hollywood's full of sexual deviants &amp; pedophiles that have sold their souls for fame.

It’s amazing the amount of brainwashing &amp; narcism to believe people would see this as a 'self sacrifice' by #MichelleWilliams

She did sacrifice something .. but it wasn’t hers to sacrifice. https://t.co/S9C5A5ttih",1.0
1216528657872588801,"“Women, 18 to 118, when it is time to vote, please do so in your own self-interest.”
“It’s what men have been doing for years, which is why the world looks so much like them.” - 
#MichelleWilliams @goldenglobes 

#MondayMorning",,,0.0
1216527590820892673,"RT @V_actually: Hollywood's full of sexual deviants &amp; pedophiles that have sold their souls for fame.

It’s amazing the amount of brainwash…",1.2152880592998605e+18,"Hollywood's full of sexual deviants &amp; pedophiles that have sold their souls for fame.

It’s amazing the amount of brainwashing &amp; narcism to believe people would see this as a 'self sacrifice' by #MichelleWilliams

She did sacrifice something .. but it wasn’t hers to sacrifice. https://t.co/S9C5A5ttih",1.0
1216526462515367936,"RT @V_actually: Hollywood's full of sexual deviants &amp; pedophiles that have sold their souls for fame.

It’s amazing the amount of brainwash…",1.2152880592998605e+18,"Hollywood's full of sexual deviants &amp; pedophiles that have sold their souls for fame.

It’s amazing the amount of brainwashing &amp; narcism to believe people would see this as a 'self sacrifice' by #MichelleWilliams

She did sacrifice something .. but it wasn’t hers to sacrifice. https://t.co/S9C5A5ttih",1.0
1216524621207539713,"RT @V_actually: Hollywood's full of sexual deviants &amp; pedophiles that have sold their souls for fame.

It’s amazing the amount of brainwash…",1.2152880592998605e+18,"Hollywood's full of sexual deviants &amp; pedophiles that have sold their souls for fame.

It’s amazing the amount of brainwashing &amp; narcism to believe people would see this as a 'self sacrifice' by #MichelleWilliams

She did sacrifice something .. but it wasn’t hers to sacrifice. https://t.co/S9C5A5ttih",1.0
1216524399177797633,@ABC7NY reports @rickygervais made delicate  @goldenglobes elite feel uncomfortable yet #MichelleWilliams proudly saying abortion allowed her to hold dumb statue was comforting? Sick! Not watching @TheAcademy unless Ricky was hosting! @POTUS 2020!,,,1.0
1216524282940907520,"RT @V_actually: Hollywood's full of sexual deviants &amp; pedophiles that have sold their souls for fame.

It’s amazing the amount of brainwash…",1.2152880592998605e+18,"Hollywood's full of sexual deviants &amp; pedophiles that have sold their souls for fame.

It’s amazing the amount of brainwashing &amp; narcism to believe people would see this as a 'self sacrifice' by #MichelleWilliams

She did sacrifice something .. but it wasn’t hers to sacrifice. https://t.co/S9C5A5ttih",1.0
1216524253761343488,"RT @V_actually: Hollywood's full of sexual deviants &amp; pedophiles that have sold their souls for fame.

It’s amazing the amount of brainwash…",1.2152880592998605e+18,"Hollywood's full of sexual deviants &amp; pedophiles that have sold their souls for fame.

It’s amazing the amount of brainwashing &amp; narcism to believe people would see this as a 'self sacrifice' by #MichelleWilliams

She did sacrifice something .. but it wasn’t hers to sacrifice. https://t.co/S9C5A5ttih",1.0
1216524059086872579,"RT @V_actually: Hollywood's full of sexual deviants &amp; pedophiles that have sold their souls for fame.

It’s amazing the amount of brainwash…",1.2152880592998605e+18,"Hollywood's full of sexual deviants &amp; pedophiles that have sold their souls for fame.

It’s amazing the amount of brainwashing &amp; narcism to believe people would see this as a 'self sacrifice' by #MichelleWilliams

She did sacrifice something .. but it wasn’t hers to sacrifice. https://t.co/S9C5A5ttih",1.0
1216515364894334976,"RT @MBNAmerica: For what will it profit a woman if she gains a Golden Globe, but forfeits her child’s life? #goldenglobes #michellewilliams…",1.2164375381199872e+18,"For what will it profit a woman if she gains a Golden Globe, but forfeits her child’s life? #goldenglobes #michellewilliams https://t.co/dfJTjKZGa3",1.0
1216512221506953216,RT @RealSheilaZ: It occurred to me she’s holding a golden calf (idol) and bragging about the human sacrifice she made to acquire it. #Baal…,1.2158476520902697e+18,"It occurred to me she’s holding a golden calf (idol) and bragging about the human sacrifice she made to acquire it. #Baal #Molech 
#MichelleWilliams https://t.co/hlr49CbEX6",1.0
1216508992396103681,RT @RealSheilaZ: It occurred to me she’s holding a golden calf (idol) and bragging about the human sacrifice she made to acquire it. #Baal…,1.2158476520902697e+18,"It occurred to me she’s holding a golden calf (idol) and bragging about the human sacrifice she made to acquire it. #Baal #Molech 
#MichelleWilliams https://t.co/hlr49CbEX6",1.0
1216507904041328641,"RT @Chavivohra: ""Women are the largest voting body in the country. Let's make it look more like us.""
#MichelleWilliams @goldenglobes 

@Pam…",1.2143569552900997e+18,"""Women are the largest voting body in the country. Let's make it look more like us.""
#MichelleWilliams @goldenglobes 

@PamelaFalk @_PriyankaCRaina @PattyArquette @RobertoValentUN @kiranshaw @kapoors_s @KirenShrivastav @emilyslist @BillieJeanKing @ava 
 https://t.co/4G1e6EihNG",0.0
1216503453951938563,RT @RealSheilaZ: It occurred to me she’s holding a golden calf (idol) and bragging about the human sacrifice she made to acquire it. #Baal…,1.2158476520902697e+18,"It occurred to me she’s holding a golden calf (idol) and bragging about the human sacrifice she made to acquire it. #Baal #Molech 
#MichelleWilliams https://t.co/hlr49CbEX6",1.0
1216497526897094656,"RT @LeanInOrg: 2020 MOOD:

""Women are the largest voting body in the country. Let's make it look more like us.""

OWN 👏 YOUR 👏 POWER 👏 LADIE…",1.2141652161512612e+18,"2020 MOOD:

""Women are the largest voting body in the country. Let's make it look more like us.""

OWN 👏 YOUR 👏 POWER 👏 LADIES 👏

#MichelleWilliams #GoldenGlobes https://t.co/wa7UCglPll",0.0
1216496171788587008,"RT @soyingridbeck: ""Mujeres, vayan a votar pensando en sus intereses. Es lo que llevan haciendo los hombres toda la vida."" 
""Quiero ser una…",1.2141779966067794e+18,"""Mujeres, vayan a votar pensando en sus intereses. Es lo que llevan haciendo los hombres toda la vida."" 
""Quiero ser una mujer que tenga el derecho de elegir cuándo quiero tener mis hijos y con quién. Los hombres llevan haciéndolo durante años."" #MichelleWilliams #GoldenGlobes https://t.co/26ZkaXTU04",
